level0,level1,level2,level3
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/genre http://dbpedia.org/property/genre http://dbpedia.org/resource/Alternative_rock http://dbpedia.org/resource/Android_(operating_system) http://dbpedia.org/resource/Category:1964_births,http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/ontology/computingPlatform http://dbpedia.org/property/platforms http://dbpedia.org/resource/Single-player_video_game
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/genre http://dbpedia.org/property/genre http://dbpedia.org/resource/Alternative_rock http://dbpedia.org/resource/Android_(operating_system) http://dbpedia.org/resource/Category:1964_births,http://dbpedia.org/ontology/associatedMusicalArtist http://dbpedia.org/ontology/associatedBand http://dbpedia.org/ontology/genre http://dbpedia.org/property/associatedActs http://dbpedia.org/property/genre
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Category:Living_people http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Place_of_birth_missing_(living_people) http://dbpedia.org/resource/Template:Birth_date_and_age http://dbpedia.org/resource/Ontario,http://purl.org/dc/terms/subject http://dbpedia.org/resource/Rugby_union_positions http://dbpedia.org/resource/Category:Place_of_birth_missing http://dbpedia.org/ontology/starring http://dbpedia.org/resource/Category:Year_of_death_missing
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Category:Living_people http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Place_of_birth_missing_(living_people) http://dbpedia.org/resource/Template:Birth_date_and_age http://dbpedia.org/resource/Ontario,http://purl.org/dc/terms/subject http://dbpedia.org/ontology/careerStation http://dbpedia.org/ontology/team http://dbpedia.org/property/clubs http://dbpedia.org/resource/Category:Living_people
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Category:Living_people http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Place_of_birth_missing_(living_people) http://dbpedia.org/resource/Template:Birth_date_and_age http://dbpedia.org/resource/Ontario,http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Living_people http://dbpedia.org/property/birthPlace http://dbpedia.org/ontology/birthPlace http://dbpedia.org/ontology/formerTeam
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/location http://dbpedia.org/resource/Template:Coord http://dbpedia.org/property/location http://dbpedia.org/resource/Template:Infobox_NRHP http://dbpedia.org/resource/National_Register_of_Historic_Places,http://dbpedia.org/resource/Category:NGC_objects http://dbpedia.org/resource/Epoch_(astronomy) http://dbpedia.org/resource/New_General_Catalogue http://dbpedia.org/property/constellationName http://dbpedia.org/resource/Virgo_(constellation)
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/location http://dbpedia.org/resource/Template:Coord http://dbpedia.org/property/location http://dbpedia.org/resource/Template:Infobox_NRHP http://dbpedia.org/resource/National_Register_of_Historic_Places,http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/servingRailwayLine http://dbpedia.org/property/address http://dbpedia.org/resource/Template:Infobox_station http://dbpedia.org/property/line
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/location http://dbpedia.org/resource/Template:Coord http://dbpedia.org/property/location http://dbpedia.org/resource/Template:Infobox_NRHP http://dbpedia.org/resource/National_Register_of_Historic_Places,http://dbpedia.org/resource/Building http://dbpedia.org/ontology/locatedInArea http://dbpedia.org/property/location http://dbpedia.org/resource/Template:Coord http://dbpedia.org/resource/List_of_elevation_extremes_by_country
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/resource/Template:Coord http://dbpedia.org/property/location http://dbpedia.org/ontology/location http://dbpedia.org/resource/Russia,http://dbpedia.org/property/subdivisionType http://dbpedia.org/ontology/subdivision http://dbpedia.org/property/subdivisionName http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/resource/List_of_sovereign_states
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/resource/Template:Coord http://dbpedia.org/property/location http://dbpedia.org/ontology/location http://dbpedia.org/resource/Russia,http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/property/subdivisionName http://dbpedia.org/resource/Template:Coord http://dbpedia.org/resource/Template:Infobox_river http://dbpedia.org/ontology/mouthPlace
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/resource/Template:Coord http://dbpedia.org/property/location http://dbpedia.org/ontology/location http://dbpedia.org/resource/Russia,http://dbpedia.org/ontology/locatedInArea http://dbpedia.org/property/location http://dbpedia.org/resource/Template:Infobox_mountain http://dbpedia.org/ontology/mountainRange http://dbpedia.org/resource/Template:Coord
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/English_language http://dbpedia.org/resource/Template:Unreferenced http://dbpedia.org/property/language http://dbpedia.org/ontology/language http://dbpedia.org/resource/Autobiography,http://dbpedia.org/property/sisterNewspapers http://dbpedia.org/ontology/sisterNewspaper http://dbpedia.org/resource/Ju-Taun http://dbpedia.org/resource/Category:2003_debut_albums http://dbpedia.org/resource/Soul_music
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/English_language http://dbpedia.org/resource/Template:Unreferenced http://dbpedia.org/property/language http://dbpedia.org/ontology/language http://dbpedia.org/resource/Autobiography,http://dbpedia.org/property/series http://dbpedia.org/ontology/coverArtist http://dbpedia.org/property/coverArtist http://dbpedia.org/resource/Oliver_Drake_(filmmaker) http://dbpedia.org/resource/Monogram_Pictures
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/English_language http://dbpedia.org/resource/Template:Unreferenced http://dbpedia.org/property/language http://dbpedia.org/ontology/language http://dbpedia.org/resource/Autobiography,http://dbpedia.org/resource/Russian_language http://dbpedia.org/resource/Kannada http://dbpedia.org/resource/Rajkumar_(actor) http://dbpedia.org/resource/Y._R._Swamy http://dbpedia.org/resource/Pavel_Sanayev
