level0,level1,level2,level3
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/property/subdivisionType http://purl.org/dc/terms/subject http://dbpedia.org/ontology/subdivision,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/property/location http://dbpedia.org/resource/Template:Coord
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/property/subdivisionType http://purl.org/dc/terms/subject http://dbpedia.org/ontology/subdivision,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/ontology/genre http://dbpedia.org/property/genre
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/careerStation http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/resource/Template:Authority_control http://dbpedia.org/resource/Category:Italian_male_painters
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/careerStation http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/formerTeam http://dbpedia.org/resource/Category:Living_people
,http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/linguistics/gold/hypernym http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/resource/Island http://dbpedia.org/ontology/wikiPageRedirects,"http://dbpedia.org/resource/Canada http://dbpedia.org/resource/Goaltender http://dbpedia.org/resource/British_Columbia ""http://dbpedia.org/resource/Bath,_New_Brunswick"" http://dbpedia.org/ontology/location",http://dbpedia.org/property/markTitle http://dbpedia.org/resource/Murshidabad_district http://dbpedia.org/resource/Indian_Standard_Time http://dbpedia.org/resource/States_and_territories_of_India http://dbpedia.org/resource/Postal_Index_Number
,http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/linguistics/gold/hypernym http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/resource/Island http://dbpedia.org/ontology/wikiPageRedirects,"http://dbpedia.org/resource/Canada http://dbpedia.org/resource/Goaltender http://dbpedia.org/resource/British_Columbia ""http://dbpedia.org/resource/Bath,_New_Brunswick"" http://dbpedia.org/ontology/location",http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Island http://dbpedia.org/resource/List_of_islands_of_Bermuda http://dbpedia.org/resource/Scottish_Australians http://dbpedia.org/resource/Leinøya
,http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/linguistics/gold/hypernym http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/resource/Island http://dbpedia.org/ontology/wikiPageRedirects,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/ontology/wikiPageRedirects http://dbpedia.org/resource/Jhalrapatan http://dbpedia.org/resource/Hammam-Lif http://dbpedia.org/resource/List_of_lakes_of_Nova_Scotia,http://dbpedia.org/ontology/wikiPageDisambiguates http://dbpedia.org/resource/List_of_Israelis http://dbpedia.org/resource/Israelites http://dbpedia.org/resource/Israelis http://dbpedia.org/resource/Israeli_(newspaper)
,http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/linguistics/gold/hypernym http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/resource/Island http://dbpedia.org/ontology/wikiPageRedirects,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/ontology/wikiPageRedirects http://dbpedia.org/resource/Jhalrapatan http://dbpedia.org/resource/Hammam-Lif http://dbpedia.org/resource/List_of_lakes_of_Nova_Scotia,http://dbpedia.org/resource/List_of_lakes_of_Nova_Scotia http://dbpedia.org/resource/Île_d'Ogoz http://dbpedia.org/resource/Kōfu http://dbpedia.org/resource/Marand http://dbpedia.org/resource/Template:R_from_title_without_diacritics
