me,parent,tau_sums,lambda_sums
0 3 0 2,0 3 0,566.47784071976,0.00553272 0.11834511 0.08757006 ... 0.10323437 0.03760688 0.71973867
0 2 1 0,0 2 1,766.4111962679107,1.06232479e-01 4.22817176e-01 1.78070955e-02 ... 9.97973103e-05
 1.16974652e-02 4.98041959e-02
0 2 1 1,0 2 1,283.23892035988,0.00352376 0.24068973 0.17499784 ... 0.1854482  0.58147035 0.11367862
0 2 1 2,0 2 1,183.27224258580472,0.13040838 0.35233084 0.06454724 ... 0.1343978  0.80479116 0.26337016
0 1 2 0,0 1 2,2715.761412862379,0.62855222 0.18287804 6.9563039  ... 0.09410353 0.13775379 0.04417329
0 1 2 1,0 1 2,2132.6224591802734,3.86182897e-04 6.41284057e-01 1.87885589e+01 ... 4.26609282e-02
 5.43318664e-01 1.23411748e-02
0 1 2 2,0 1 2,399.86671109630123,0.47488221 0.47740516 0.27895236 ... 0.0054719  0.13301924 0.21723679
0 4 0 0,0 4 0,466.51116294568476,0.1105543  0.02149733 0.02116913 ... 0.05367771 0.07750656 0.32408131
0 4 0 1,0 4 0,449.85004998333886,0.07137885 0.76213621 0.45913847 ... 0.11060497 0.67455978 0.12290747
0 4 0 2,0 4 0,316.5611462845718,0.16373257 0.36888667 0.09511385 ... 0.08720829 0.03688087 0.28919073
0 0 3 0,0 0 3,3415.5281572809063,0.24809043 0.1339232  0.00458777 ... 0.15060163 0.01046783 0.00361472
0 0 3 1,0 0 3,2732.422525824725,0.63819954 0.13008878 0.01126189 ... 0.14635203 0.01099828 0.15442261
0 0 3 2,0 0 3,2532.4891702765744,0.17060873 0.125791   6.307911   ... 0.03926762 0.14103216 0.1656257 
0 3 1 0,0 3 1,966.3445518160613,0.23374557 0.00183244 0.11803361 ... 0.06232214 0.01137505 0.00854617
0 3 1 1,0 3 1,716.4278573808731,0.02942427 0.28930781 0.0086093  ... 0.09978536 0.00621338 0.01661657
0 3 1 2,0 3 1,16.661112962345886,0.33291513 0.03850729 0.04332793 ... 0.01729984 0.00858661 0.02761707
